date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:16:12	134/134	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Aug%202023%2020:15:58%20GMT	https://25--5-clock.freecodecamp.rocks/robots.txt		(from )
04:16:13	774/774	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2012:54:35%20GMT	https://25--5-clock.freecodecamp.rocks/	/home/jhiem/Desktop/edu/Projects/25+5_Clock/Clock/25--5-clock.freecodecamp.rocks/index.html	(from )
04:16:14	394/394	---MC-	200	added ('OK')	text/css	date:Tue,%2029%20Aug%202023%2020:16:00%20GMT	https://fonts.googleapis.com/css?family=Share+Tech+Mono|Righteous	/home/jhiem/Desktop/edu/Projects/25+5_Clock/Clock/fonts.googleapis.com/cssf121.css	(from https://25--5-clock.freecodecamp.rocks/)
04:16:15	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/home/jhiem/Desktop/edu/Projects/25+5_Clock/Clock/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://25--5-clock.freecodecamp.rocks/)
04:16:16	1558/1558	---MCZ	200	added ('OK')	text/css	etag:W/%22616-183b283071c%22	https://25--5-clock.freecodecamp.rocks/styles.css	/home/jhiem/Desktop/edu/Projects/25+5_Clock/Clock/25--5-clock.freecodecamp.rocks/styles.css	(from https://25--5-clock.freecodecamp.rocks/)
04:16:16	10737/10737	---M-Z	200	added ('OK')	application/javascript	etag:%2264995f81-10ad%22	https://cdnjs.cloudflare.com/ajax/libs/react/18.2.0/umd/react.production.min.js	/home/jhiem/Desktop/edu/Projects/25+5_Clock/Clock/cdnjs.cloudflare.com/ajax/libs/react/18.2.0/umd/react.production.min.js	(from https://25--5-clock.freecodecamp.rocks/)
04:16:18	131882/131882	---M-Z	200	added ('OK')	application/javascript	etag:%22649965df-a8b3%22	https://cdnjs.cloudflare.com/ajax/libs/react-dom/18.2.0/umd/react-dom.production.min.js	/home/jhiem/Desktop/edu/Projects/25+5_Clock/Clock/cdnjs.cloudflare.com/ajax/libs/react-dom/18.2.0/umd/react-dom.production.min.js	(from https://25--5-clock.freecodecamp.rocks/)
04:16:19	7563/7563	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d8b-1864a9506e2%22	https://25--5-clock.freecodecamp.rocks/bundle.js	/home/jhiem/Desktop/edu/Projects/25+5_Clock/Clock/25--5-clock.freecodecamp.rocks/bundle.js	(from https://25--5-clock.freecodecamp.rocks/)
04:16:20	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2029%20Aug%202023%2020:16:06%20GMT	https://fonts.googleapis.com/robots.txt		(from https://25--5-clock.freecodecamp.rocks/)
04:16:21	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	/home/jhiem/Desktop/edu/Projects/25+5_Clock/Clock/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
