date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:34	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/home/jhiem/Desktop/edu/Projects/DRUM_MACHINE/drum_machine/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from )
21:05:34	63/63	---MCZ	302	error ('Found')	text/plain	date:Tue,%2029%20Aug%202023%2013:05:21%20GMT	https://unpkg.com/react@17/umd/react.production.min.js	/home/jhiem/Desktop/edu/Projects/DRUM_MACHINE/drum_machine/unpkg.com/react@17/umd/react.production.min.1.delayed	(from )
21:05:36	11440/11440	---MCZ	200	added ('OK')	application/javascript	etag:%222cb0-bAUYnMLQi7KnYJwALwZ1ycZw02I%22	https://unpkg.com/react@17.0.2/umd/react.production.min.js	/home/jhiem/Desktop/edu/Projects/DRUM_MACHINE/drum_machine/unpkg.com/react@17.0.2/umd/react.production.min.js	(from )
21:05:36	581/581	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202022%2012:54:35%20GMT	https://drum-machine.freecodecamp.rocks/	/home/jhiem/Desktop/edu/Projects/DRUM_MACHINE/drum_machine/drum-machine.freecodecamp.rocks/index.html	(from )
21:05:36	71/71	---MCZ	302	error ('Found')	text/plain	date:Tue,%2029%20Aug%202023%2013:05:23%20GMT	https://unpkg.com/react-dom@17/umd/react-dom.production.min.js	/home/jhiem/Desktop/edu/Projects/DRUM_MACHINE/drum_machine/unpkg.com/react-dom@17/umd/react-dom.production.min.3.delayed	(from )
21:05:38	120585/120585	---MCZ	200	added ('OK')	application/javascript	etag:%221d709-vwi4rRrXPBKnycshGSbOI6hh2wc%22	https://unpkg.com/react-dom@17.0.2/umd/react-dom.production.min.js	/home/jhiem/Desktop/edu/Projects/DRUM_MACHINE/drum_machine/unpkg.com/react-dom@17.0.2/umd/react-dom.production.min.js	(from )
21:05:39	8845/8845	---MCZ	200	added ('OK')	application/javascript	etag:W/%22228d-1864a95024a%22	https://drum-machine.freecodecamp.rocks/bundle.js	/home/jhiem/Desktop/edu/Projects/DRUM_MACHINE/drum_machine/drum-machine.freecodecamp.rocks/bundle.js	(from )
21:05:40	134/134	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Aug%202023%2013:05:27%20GMT	https://drum-machine.freecodecamp.rocks/robots.txt		(from )
21:05:41	3840/3840	---MCZ	200	added ('OK')	text/css	etag:W/%22f00-183b2830720%22	https://drum-machine.freecodecamp.rocks/styles.css	/home/jhiem/Desktop/edu/Projects/DRUM_MACHINE/drum_machine/drum-machine.freecodecamp.rocks/styles.css	(from https://drum-machine.freecodecamp.rocks/)
21:05:42	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	/home/jhiem/Desktop/edu/Projects/DRUM_MACHINE/drum_machine/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css)
